pc4,stedelijkheid,third_places_total_ranked,third_places_non_medical_total_ranked,third_places_medical_ranked,third_places_food_beverage_ranked,third_places_retail_ranked,third_places_community_ranked,third_places_cultural_ranked,third_places_sport_leisure_ranked,third_places_non_medical_non_retail_total_ranked,third_places_total_ranked_by_urbanisation,third_places_non_medical_total_ranked_by_urbanisation,third_places_medical_ranked_by_urbanisation,third_places_food_beverage_ranked_by_urbanisation,third_places_retail_ranked_by_urbanisation,third_places_community_ranked_by_urbanisation,third_places_cultural_ranked_by_urbanisation,third_places_sport_leisure_ranked_by_urbanisation,third_places_non_medical_non_retail_total_ranked_by_urbanisation
4437,5,16.287410338857285,18.049202620843122,15.252976190476192,23.959417273673257,17.991211550533585,21.566093810569843,10.033748701973002,15.32399299474606,17.784112033709256,31.667089571174827,34.8212021303576,30.0,44.410370783384444,34.903192046049185,40.03317666574509,19.554317548746518,29.646936656282453,34.14882772680938
4438,5,21.642344793470194,22.82111509457288,20.262896825396826,9.482310093652444,25.976145637162585,27.510014213722705,10.033748701973002,23.042281711283465,20.16358904449126,41.76604922608475,43.54552371290895,39.107142857142854,18.037357122943966,49.9476713762428,49.40558473873376,19.554317548746518,43.613707165109034,38.53211009174312
4441,5,35.951026465495914,34.50364692792681,39.285714285714285,45.850676378772114,40.48964218455744,21.566093810569843,19.132917964693664,25.13134851138354,29.19816581980419,67.59705658462319,64.31651027136698,72.88265306122449,76.33119598550321,74.07116692830978,40.03317666574509,36.57381615598886,47.30010384215992,54.20489296636085
4443,5,27.009646302250808,25.652120163184573,30.766369047619047,0.0,29.99372253609542,27.510014213722705,27.12876427829699,23.042281711283465,21.415293097038045,51.839634610504945,48.66852650266294,58.62244897959184,0.0,57.14285714285714,49.40558473873376,50.64066852367688,43.613707165109034,40.80020387359837
4444,5,22.582240910215187,19.409074051180617,28.422619047619047,17.156607700312172,14.28750784682988,37.49838480423827,27.12876427829699,15.32399299474606,22.642210930722516,43.56762243085511,37.30661932538676,54.31122448979592,32.36688040144968,27.995813710099426,63.56096212330661,50.64066852367688,29.646936656282453,42.991845056065245
4451,4,72.47093742270592,75.8561008777352,68.56398809523809,69.52393340270552,82.39799121155053,71.48210363096007,50.75285565939771,71.16587440580435,67.48048085264593,66.6044776119403,67.16417910447761,63.958916900093364,60.285714285714285,77.05223880597015,49.43396226415094,33.459715639810426,57.757009345794394,52.79850746268657
4453,5,40.662874103388575,40.36345654592657,42.336309523809526,54.539542143600414,41.90834902699309,32.704483783434554,27.12876427829699,37.55316487365524,39.422481100508115,75.00634356762244,73.5226984529546,77.93367346938776,85.28017842207973,76.08581894296181,56.92562897428809,50.64066852367688,68.50986500519211,71.0499490316004
4454,5,36.23546871135296,34.50364692792681,39.8313492063492,34.65140478668054,34.965473948524796,60.731360640909685,19.132917964693664,25.13134851138354,34.04387160738629,68.02841918294848,64.31651027136698,73.80102040816327,61.750766657373845,65.56776556776556,87.39286701686481,36.57381615598886,47.30010384215992,62.48725790010193
4455,5,34.41751174870146,37.35937693163555,30.766369047619047,45.850676378772114,39.73634651600753,57.00994960589223,19.132917964693664,25.13134851138354,35.61779650514314,64.90738391271252,68.55186406289627,58.62244897959184,76.33119598550321,72.99843014128729,84.43461432126071,36.57381615598886,47.30010384215992,64.98470948012233
4456,5,38.7459807073955,36.20966744962295,43.526785714285715,34.65140478668054,42.59887005649718,21.566093810569843,27.12876427829699,31.048286214660997,30.16482835543438,71.98680537934534,66.90337306619325,79.79591836734694,61.750766657373845,76.92307692307693,40.03317666574509,50.64066852367688,57.71028037383178,55.98878695208971
